DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2015-07,100.6,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2015-08,100.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2015-09,100.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2015-10,100.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2015-11,100.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2015-12,100.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2016-01,103.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2016-02,101.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2016-03,100.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2016-04,102.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2016-05,100.6,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2016-06,101.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2016-07,101.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2016-08,101.8,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2016-09,101.8,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2016-10,102.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2016-11,103.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2016-12,103.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2017-01,102.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2017-02,103.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2017-03,103.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2017-04,104.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2017-05,104.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2017-06,104.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2017-07,105.8,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2017-08,106.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2017-09,106.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2017-10,106.8,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2017-11,109.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2017-12,109.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2018-01,108,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2018-02,106.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2018-03,106.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2018-04,106.8,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2018-05,108.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2018-06,108.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2018-07,106.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2018-08,108.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2018-09,107.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2018-10,108.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2018-11,106.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2018-12,107.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2019-01,107.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2019-02,108,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2019-03,108.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2019-04,107.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2019-05,108.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2019-06,106.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2019-07,106.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2019-08,106.9,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2019-09,107.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2019-10,107.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2019-11,106.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2019-12,104.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2020-01,107.2,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2020-02,106.7,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2020-03,95.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2020-04,76,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2020-05,86.4,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2020-06,95.3,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2020-07,100.1,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2020-08,101,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2020-09,101.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2020-10,104.5,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2020-11,107.6,
ESTAT:STS_INPR_M(1.0),15/10/2024 11:00,M,PRD,C,SCA,I15,EU27_2020,2020-12,108.1,
